Latitude (decimal degrees):	40.202
Longitude (decimal degrees):	-76.735
Elevation (m):	111
Radiation database:	PVGIS-NSRDB


Slope: 45 deg. 
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20150416:1400,705.21,38.95,12.4,2.48,0.0
20150416:1500,901.88,48.84,14.26,2.69,0.0
20150416:1600,888.42,56.46,16.29,2.83,0.0
20150416:1700,687.3,59.89,17.87,3.03,0.0
20150416:1800,1034.24,57.72,18.82,3.31,0.0
20150416:1900,750.28,50.89,19.4,3.52,0.0
20150416:2000,670.4,41.4,19.5,3.72,0.0
20150416:2100,405.48,30.62,19.09,3.86,0.0
20150416:2200,46.75,19.29,18.15,3.52,0.0
20150416:2300,30.87,7.85,16.53,3.17,0.0
20150417:0000,0.0,0.0,15.15,3.1,0.0
20150417:0100,0.0,0.0,14.31,3.1,0.0
20150417:0200,0.0,0.0,13.78,3.03,0.0
20150417:0300,0.0,0.0,13.72,3.03,0.0
20150417:0400,0.0,0.0,13.54,2.83,0.0
20150417:0500,0.0,0.0,12.79,2.69,0.0
20150417:0600,0.0,0.0,12.0,2.62,0.0
20150417:0700,0.0,0.0,11.18,2.34,0.0
20150417:0800,0.0,0.0,11.07,2.41,0.0
20150417:0900,0.0,0.0,10.96,2.41,0.0
20150417:1000,0.0,0.0,10.78,2.21,0.0
20150417:1100,1.61,5.47,10.96,2.07,0.0
20150417:1200,27.34,16.88,11.87,1.59,0.0
20150417:1300,168.01,28.27,13.53,2.34,0.0
20150417:1400,499.16,39.24,15.21,2.14,0.0
20150417:1500,561.1,49.16,16.88,1.93,0.0
20150417:1600,965.79,56.81,18.65,2.14,0.0
20150417:1700,780.26,60.25,19.66,2.28,0.0
20150417:1800,750.34,58.03,20.32,2.0,0.0
20150417:1900,494.47,51.14,21.35,3.1,0.0
20150417:2000,314.05,41.61,21.82,3.31,0.0
20150417:2100,213.14,30.8,21.8,3.17,0.0
20150417:2200,241.2,19.47,21.23,2.14,0.0
20150417:2300,41.1,8.03,20.08,1.72,0.0
20150418:0000,0.0,0.0,18.36,1.86,0.0
20150418:0100,0.0,0.0,16.79,1.93,0.0
20150418:0200,0.0,0.0,15.54,2.0,0.0
20150418:0300,0.0,0.0,14.55,2.07,0.0
20150418:0400,0.0,0.0,13.63,2.0,0.0
20150418:0500,0.0,0.0,12.84,1.93,0.0
20150418:0600,0.0,0.0,12.2,1.79,0.0
20150418:0700,0.0,0.0,11.8,1.59,0.0
20150418:0800,0.0,0.0,10.84,1.66,0.0
20150418:0900,0.0,0.0,10.02,1.66,0.0
20150418:1000,0.0,0.0,9.27,1.66,0.0
20150418:1100,29.79,5.74,8.87,1.52,0.0
20150418:1200,197.88,17.14,11.89,0.83,0.0
20150418:1300,444.74,28.54,16.35,0.9,0.0
20150418:1400,502.58,39.53,18.64,1.03,0.0
20150418:1500,875.25,49.47,20.41,1.1,0.0
20150418:1600,1000.08,57.15,21.84,1.52,0.0
20150418:1700,1047.25,60.6,23.03,2.14,0.0
20150418:1800,1013.61,58.34,23.83,2.69,0.0
20150418:1900,902.14,51.39,24.71,2.34,0.0
20150418:2000,721.91,41.82,24.96,2.62,0.0
20150418:2100,494.47,30.99,24.75,2.83,0.0
20150418:2200,156.09,19.64,23.82,2.21,0.0
20150418:2300,37.93,8.21,21.57,2.21,0.0
20150419:0000,0.0,0.0,19.39,2.34,0.0
20150419:0100,0.0,0.0,17.87,2.55,0.0
20150419:0200,0.0,0.0,16.96,3.24,0.0
20150419:0300,0.0,0.0,15.58,3.38,0.0
20150419:0400,0.0,0.0,14.14,2.83,0.0
20150419:0500,0.0,0.0,12.88,2.41,0.0
20150419:0600,0.0,0.0,11.72,2.14,0.0
20150419:0700,0.0,0.0,12.1,1.93,0.0
20150419:0800,0.0,0.0,11.01,1.86,0.0
20150419:0900,0.0,0.0,10.26,2.07,0.0
20150419:1000,0.0,0.0,9.69,2.14,0.0
20150419:1100,26.57,6.0,9.32,2.21,0.0
20150419:1200,161.79,17.41,10.44,2.07,0.0
20150419:1300,360.89,28.81,11.91,3.17,0.0
20150419:1400,570.82,39.81,13.17,3.31,0.0
20150419:1500,878.44,49.78,14.52,3.38,0.0
20150419:1600,878.02,57.5,15.77,3.24,0.0
20150419:1700,814.06,60.95,17.04,3.17,0.0
20150419:1800,777.69,58.65,17.94,3.31,0.0
20150419:1900,536.32,51.64,18.14,3.66,0.0
20150419:2000,402.17,42.02,17.99,3.79,0.0
20150419:2100,175.67,31.17,17.17,3.86,0.0
20150419:2200,125.6,19.81,15.96,3.72,0.0
20150419:2300,42.34,8.39,14.63,3.93,0.0
20150420:0000,0.0,0.0,13.33,4.07,0.0
20150420:0100,0.0,0.0,12.21,4.14,0.0
20150420:0200,0.0,0.0,10.71,4.0,0.0
20150420:0300,0.0,0.0,8.72,4.14,0.0
20150420:0400,0.0,0.0,7.49,4.34,0.0
20150420:0500,0.0,0.0,7.1,4.62,0.0
20150420:0600,0.0,0.0,7.39,5.1,0.0
20150420:0700,0.0,0.0,7.99,5.45,0.0
20150420:0800,0.0,0.0,8.94,5.72,0.0
20150420:0900,0.0,0.0,9.78,5.31,0.0
20150420:1000,0.0,0.0,10.6,4.14,0.0
20150420:1100,30.59,6.27,11.39,3.38,0.0
20150420:1200,129.43,17.67,12.32,2.48,0.0
20150420:1300,87.32,29.07,13.27,1.59,0.0
20150420:1400,87.32,40.09,14.52,2.14,0.0
20150420:1500,274.95,50.08,15.65,1.93,0.0
20150420:1600,466.88,57.83,18.09,1.86,0.0
20150420:1700,789.43,61.3,20.22,2.14,0.0
20150420:1800,769.92,58.96,21.57,2.55,0.0
20150420:1900,517.12,51.89,22.13,3.03,0.0
20150420:2000,60.86,42.22,22.51,3.1,0.0
20150420:2100,364.8,31.35,22.09,2.69,0.0
20150420:2200,101.38,19.99,20.8,2.41,0.0
20150420:2300,40.75,8.56,18.83,2.34,0.0
20150421:0000,0.0,0.0,16.99,2.41,0.0
20150421:0100,0.0,0.0,16.33,2.07,0.0
20150421:0200,0.0,0.0,15.84,2.0,0.0
20150421:0300,0.0,0.0,15.42,1.79,0.0
20150421:0400,0.0,0.0,14.77,2.07,0.0
20150421:0500,0.0,0.0,14.51,2.14,0.0
20150421:0600,0.0,0.0,14.05,2.41,0.0
20150421:0700,0.0,0.0,13.26,2.48,0.0
20150421:0800,0.0,0.0,12.6,2.76,0.0
20150421:0900,0.0,0.0,11.73,3.17,0.0
20150421:1000,0.0,0.0,11.17,3.31,0.0
20150421:1100,30.59,6.53,10.43,2.69,0.0
20150421:1200,204.05,17.92,10.61,2.76,0.0
20150421:1300,225.83,29.33,11.52,3.79,0.0
20150421:1400,573.42,40.36,12.53,4.28,0.0
20150421:1500,889.23,50.38,13.33,4.34,0.0
20150421:1600,1016.17,58.17,14.47,4.83,0.0
20150421:1700,763.23,61.64,14.86,4.83,0.0
20150421:1800,661.28,59.26,15.28,4.83,0.0
20150421:1900,916.84,52.13,15.51,4.41,0.0
20150421:2000,450.89,42.43,15.54,4.55,0.0
20150421:2100,405.43,31.53,15.35,4.34,0.0
20150421:2200,252.76,20.16,15.08,3.66,0.0
20150421:2300,42.57,8.74,14.21,3.03,0.0
20150422:0000,0.0,0.0,12.74,2.48,0.0
20150422:0100,0.0,0.0,11.27,1.93,0.0
20150422:0200,0.0,0.0,10.08,2.0,0.0
20150422:0300,0.0,0.0,9.28,2.21,0.0
20150422:0400,0.0,0.0,8.83,2.34,0.0
20150422:0500,0.0,0.0,8.48,2.34,0.0
20150422:0600,0.0,0.0,8.19,2.41,0.0
20150422:0700,0.0,0.0,8.46,2.28,0.0
20150422:0800,0.0,0.0,8.31,2.28,0.0
20150422:0900,0.0,0.0,7.95,2.28,0.0
20150422:1000,0.0,0.0,7.51,2.41,0.0
20150422:1100,31.4,6.78,7.66,2.48,0.0
20150422:1200,201.48,18.17,9.39,2.14,0.0
20150422:1300,81.15,29.59,12.05,2.69,0.0
20150422:1400,540.64,40.63,14.06,3.24,0.0
20150422:1500,521.88,50.68,15.39,3.86,0.0
20150422:1600,231.62,58.49,16.24,4.28,0.0
20150422:1700,340.7,61.98,16.93,4.34,0.0
20150422:1800,132.87,59.55,15.82,3.38,0.0
20150422:1900,206.09,52.37,10.7,2.34,0.0
20150422:2000,513.48,42.63,11.75,2.97,0.0
20150422:2100,390.95,31.71,13.0,4.28,0.0
20150422:2200,41.46,20.33,12.5,4.21,0.0
20150422:2300,41.94,8.91,11.59,3.52,0.0
20150423:0000,0.0,0.0,10.45,3.38,0.0
20150423:0100,0.0,0.0,9.44,3.72,0.0
20150423:0200,0.0,0.0,8.02,3.93,0.0
20150423:0300,0.0,0.0,7.0,3.59,0.0
20150423:0400,0.0,0.0,6.22,3.52,0.0
20150423:0500,0.0,0.0,5.25,3.24,0.0
20150423:0600,0.0,0.0,4.48,3.17,0.0
20150423:0700,0.0,0.0,3.47,3.03,0.0
20150423:0800,0.0,0.0,3.0,2.69,0.0
20150423:0900,0.0,0.0,2.61,2.34,0.0
20150423:1000,0.0,0.0,2.25,2.0,0.0
20150423:1100,36.23,7.04,2.31,1.93,0.0
20150423:1200,129.18,18.42,3.75,2.48,0.0
20150423:1300,351.83,29.84,4.76,5.1,0.0
20150423:1400,143.1,40.9,5.89,5.38,0.0
20150423:1500,203.95,50.97,6.94,5.52,0.0
20150423:1600,141.95,58.82,7.4,5.1,0.0
20150423:1700,250.29,62.32,8.64,5.66,0.0
20150423:1800,313.24,59.85,9.31,5.86,0.0
20150423:1900,202.49,52.61,8.68,5.17,0.0
20150423:2000,56.45,42.82,9.03,5.31,0.0
20150423:2100,71.44,31.88,8.71,4.97,0.0
20150423:2200,74.09,20.5,8.32,4.48,0.0
20150423:2300,46.75,9.08,7.71,3.72,0.0
20150424:0000,0.0,0.0,6.49,3.93,0.0
20150424:0100,0.0,0.0,5.74,4.41,0.0
20150424:0200,0.0,0.0,4.71,4.34,0.0
20150424:0300,0.0,0.0,3.74,4.07,0.0
20150424:0400,0.0,0.0,2.9,3.59,0.0
20150424:0500,0.0,0.0,2.19,3.24,0.0
20150424:0600,0.0,0.0,1.67,3.03,0.0
20150424:0700,0.0,0.0,1.53,3.59,0.0
20150424:0800,0.0,0.0,1.1,3.45,0.0
20150424:0900,0.0,0.0,0.78,3.45,0.0
20150424:1000,0.0,0.0,0.55,3.17,0.0
20150424:1100,33.01,7.28,0.57,3.17,0.0
20150424:1200,216.15,18.66,1.66,3.24,0.0
20150424:1300,471.55,30.08,3.21,5.1,0.0
20150424:1400,714.44,41.16,4.76,5.45,0.0
20150424:1500,909.51,51.26,6.16,5.45,0.0
20150424:1600,1035.35,59.14,7.79,5.59,0.0
20150424:1700,1081.26,62.65,9.38,5.79,0.0
20150424:1800,1044.09,60.14,10.54,5.79,0.0
20150424:1900,927.98,52.84,10.65,5.66,0.0
20150424:2000,744.34,43.02,11.13,5.66,0.0
20150424:2100,510.52,32.06,11.33,5.66,0.0
20150424:2200,256.85,20.67,10.77,4.83,0.0
20150424:2300,42.29,9.26,9.62,3.72,0.0
20150425:0000,0.0,0.0,8.11,3.31,0.0
20150425:0100,0.0,0.0,6.84,3.03,0.0
20150425:0200,0.0,0.0,5.73,2.83,0.0
20150425:0300,0.0,0.0,4.71,2.69,0.0
20150425:0400,0.0,0.0,3.78,2.41,0.0
20150425:0500,0.0,0.0,2.85,2.0,0.0
20150425:0600,0.0,0.0,1.91,1.79,0.0
20150425:0700,0.0,0.0,1.72,1.52,0.0
20150425:0800,0.0,0.0,0.92,1.52,0.0
20150425:0900,0.0,0.0,0.39,1.52,0.0
20150425:1000,0.0,0.0,0.02,1.52,0.0
20150425:1100,10.47,7.53,0.69,1.38,0.0
20150425:1200,107.32,18.9,3.06,1.31,0.0
20150425:1300,207.47,30.33,3.81,1.59,0.0
20150425:1400,367.2,41.41,4.4,1.38,0.0
20150425:1500,337.16,51.54,5.06,1.17,0.0
20150425:1600,848.34,59.46,5.32,1.24,0.0
20150425:1700,1037.53,62.98,6.08,0.9,0.0
20150425:1800,814.88,60.43,9.24,1.31,0.0
20150425:1900,672.27,53.08,11.29,0.9,0.0
20150425:2000,445.34,43.21,11.88,0.9,0.0
20150425:2100,444.31,32.23,11.96,0.62,0.0
20150425:2200,187.5,20.84,11.55,0.48,0.0
20150425:2300,51.43,9.43,10.36,0.14,0.0
20150426:0000,0.0,0.0,9.74,0.28,0.0
20150426:0100,0.0,0.0,9.31,0.41,0.0
20150426:0200,0.0,0.0,7.36,1.17,0.0
20150426:0300,0.0,0.0,6.56,1.31,0.0
20150426:0400,0.0,0.0,6.18,1.31,0.0
20150426:0500,0.0,0.0,6.02,0.83,0.0
20150426:0600,0.0,0.0,5.18,1.03,0.0
20150426:0700,0.0,0.0,3.79,1.52,0.0
20150426:0800,0.0,0.0,3.5,1.66,0.0
20150426:0900,0.0,0.0,3.34,1.79,0.0
20150426:1000,0.0,0.0,3.21,1.93,0.0
20150426:1100,14.49,7.77,3.07,1.93,0.0
20150426:1200,209.83,19.14,4.7,2.07,0.0
20150426:1300,457.64,30.56,6.8,2.21,0.0
20150426:1400,694.14,41.66,9.03,2.14,0.0
20150426:1500,885.6,51.81,10.79,2.0,0.0
20150426:1600,1009.55,59.77,12.38,2.28,0.0
20150426:1700,1056.26,63.3,13.37,2.41,0.0
20150426:1800,1021.42,60.71,13.93,2.41,0.0
20150426:1900,908.01,53.31,15.03,2.34,0.0
20150426:2000,727.49,43.4,14.66,2.55,0.0
20150426:2100,498.34,32.4,14.69,2.83,0.0
20150426:2200,250.77,21.0,13.91,2.41,0.0
20150426:2300,41.96,9.6,12.76,2.07,0.0
20150427:0000,0.0,0.0,11.09,2.07,0.0
20150427:0100,0.0,0.0,9.72,2.21,0.0
20150427:0200,0.0,0.0,8.65,2.21,0.0
20150427:0300,0.0,0.0,7.58,2.07,0.0
20150427:0400,0.0,0.0,6.56,1.86,0.0
20150427:0500,0.0,0.0,5.67,1.72,0.0
20150427:0600,0.0,0.0,4.81,1.72,0.0
20150427:0700,0.0,0.0,5.17,1.52,0.0
20150427:0800,0.0,0.0,4.72,1.66,0.0
20150427:0900,0.0,0.0,4.32,1.72,0.0
20150427:1000,0.0,0.0,3.95,1.72,0.0
20150427:1100,18.52,8.0,4.06,1.59,0.0
20150427:1200,110.51,19.37,6.71,1.72,0.0
20150427:1300,256.32,30.8,8.48,2.55,0.0
20150427:1400,686.26,41.91,9.92,3.31,0.0
20150427:1500,531.79,52.09,10.74,3.66,0.0
20150427:1600,218.01,60.08,11.28,3.52,0.0
20150427:1700,226.34,63.62,11.95,3.72,0.0
20150427:1800,337.36,60.99,12.65,3.72,0.0
20150427:1900,313.41,53.53,12.85,3.31,0.0
20150427:2000,219.39,43.59,12.93,3.86,0.0
20150427:2100,122.6,32.57,12.65,4.0,0.0
20150427:2200,92.61,21.17,11.53,3.66,0.0
20150427:2300,42.67,9.77,10.85,3.38,0.0
20150428:0000,0.0,0.0,9.85,3.03,0.0
20150428:0100,0.0,0.0,8.8,3.1,0.0
20150428:0200,0.0,0.0,8.15,3.24,0.0
20150428:0300,0.0,0.0,7.45,3.1,0.0
20150428:0400,0.0,0.0,6.88,3.03,0.0
20150428:0500,0.0,0.0,6.49,3.03,0.0
20150428:0600,0.0,0.0,6.44,3.1,0.0
20150428:0700,0.0,0.0,7.36,3.17,0.0
20150428:0800,0.0,0.0,7.12,3.17,0.0
20150428:0900,0.0,0.0,6.72,3.17,0.0
20150428:1000,0.0,0.0,6.43,3.03,0.0
20150428:1100,40.25,8.23,6.43,2.9,0.0
20150428:1200,209.79,19.59,7.92,2.83,0.0
20150428:1300,450.72,31.02,9.98,3.38,0.0
20150428:1400,679.53,42.15,12.13,3.59,0.0
20150428:1500,863.4,52.35,14.27,4.28,0.0
20150428:1600,759.02,60.38,15.52,4.55,0.0
20150428:1700,741.62,63.94,15.98,4.41,0.0
20150428:1800,715.62,61.27,16.4,4.21,0.0
20150428:1900,883.26,53.76,17.67,3.79,0.0
20150428:2000,311.98,43.78,17.99,3.52,0.0
20150428:2100,228.04,32.74,17.49,2.69,0.0
20150428:2200,244.38,21.33,17.06,2.69,0.0
20150428:2300,46.69,9.94,16.22,2.76,0.0
20150429:0000,0.0,0.0,14.57,2.76,0.0
20150429:0100,0.0,0.0,13.32,2.55,0.0
20150429:0200,0.0,0.0,12.29,2.21,0.0
20150429:0300,0.0,0.0,11.08,2.21,0.0
20150429:0400,0.0,0.0,10.18,2.21,0.0
20150429:0500,0.0,0.0,9.47,2.14,0.0
20150429:0600,0.0,0.0,8.84,2.14,0.0
20150429:0700,0.0,0.0,8.81,1.93,0.0
20150429:0800,0.0,0.0,8.04,2.0,0.0
20150429:0900,0.0,0.0,7.5,2.0,0.0
20150429:1000,0.0,0.0,7.05,2.0,0.0
20150429:1100,41.06,8.46,7.11,1.72,0.0
20150429:1200,210.61,19.82,10.21,1.38,0.0
20150429:1300,453.14,31.25,13.08,1.86,0.0
20150429:1400,682.94,42.39,15.12,1.79,0.0
20150429:1500,869.98,52.62,17.18,1.52,0.0
20150429:1600,991.01,60.68,18.94,1.52,0.0
20150429:1700,1035.2,64.25,20.23,2.28,0.0
20150429:1800,999.37,61.55,20.21,2.14,0.0
20150429:1900,886.55,53.98,21.47,1.86,0.0
20150429:2000,708.29,43.96,21.36,1.79,0.0
20150429:2100,483.25,32.91,20.88,1.31,0.0
20150429:2200,243.38,21.49,20.25,0.9,0.0
20150429:2300,46.69,10.11,19.38,0.76,0.0
20150430:0000,0.0,0.0,17.96,1.17,0.0
20150430:0100,0.0,0.0,15.52,1.52,0.0
20150430:0200,0.0,0.0,13.55,1.66,0.0
20150430:0300,0.0,0.0,12.28,1.45,0.0
20150430:0400,0.0,0.0,11.0,1.59,0.0
20150430:0500,0.0,0.0,10.55,2.14,0.0
20150430:0600,0.0,0.0,10.11,2.14,0.0
20150430:0700,0.0,0.0,9.22,1.79,0.0
20150430:0800,0.0,0.0,8.58,1.86,0.0
20150430:0900,0.0,0.0,7.89,1.93,0.0
20150430:1000,0.0,0.0,7.45,2.0,0.0
20150430:1100,41.06,8.68,7.73,1.86,0.0
20150430:1200,173.79,20.03,10.39,1.86,0.0
20150430:1300,373.01,31.47,12.31,1.79,0.0
20150430:1400,506.02,42.62,14.36,1.66,0.0
20150430:1500,623.82,52.87,16.47,1.66,0.0
20150430:1600,742.68,60.97,18.12,1.79,0.0
20150430:1700,801.4,64.56,19.57,1.93,0.0
20150430:1800,652.18,61.82,20.3,2.0,0.0
20150430:1900,720.0,54.19,20.57,2.0,0.0
20150430:2000,693.37,44.15,19.82,2.07,0.0
20150430:2100,421.03,33.08,18.45,2.9,0.0
20150430:2200,228.08,21.66,17.45,2.41,0.0
20150430:2300,4.83,10.28,16.63,1.86,0.0
20150501:0000,0.0,0.0,15.26,2.0,0.0
20150501:0100,0.0,0.0,13.97,2.21,0.0
20150501:0200,0.0,0.0,12.93,2.14,0.0
20150501:0300,0.0,0.0,12.0,2.28,0.0
20150501:0400,0.0,0.0,10.94,2.41,0.0
20150501:0500,0.0,0.0,10.23,2.28,0.0
20150501:0600,0.0,0.0,9.75,2.07,0.0
20150501:0700,0.0,0.0,9.01,1.72,0.0
20150501:0800,0.0,0.0,9.2,1.59,0.0
20150501:0900,0.0,0.0,9.37,1.59,0.0
20150501:1000,0.0,0.0,9.45,1.52,0.0
20150501:1100,41.06,8.9,9.62,1.38,0.0
20150501:1200,199.13,20.24,9.83,1.38,0.0
20150501:1300,325.41,31.68,10.25,1.45,0.0
20150501:1400,385.39,42.84,11.45,1.31,0.0
20150501:1500,660.98,53.12,12.8,0.97,0.0
20150501:1600,743.19,61.26,14.11,0.97,0.0
20150501:1700,221.65,64.87,14.65,0.83,0.0
20150501:1800,258.71,62.09,15.06,0.76,0.0
20150501:1900,287.17,54.41,15.02,0.21,0.0
20150501:2000,228.1,44.33,16.08,0.07,0.0
20150501:2100,78.5,33.24,16.67,0.48,0.0
20150501:2200,60.86,21.82,16.5,1.17,0.0
20150501:2300,12.88,10.44,15.39,0.97,0.0
20150502:0000,0.0,0.0,14.04,1.1,0.0
20150502:0100,0.0,0.0,12.92,0.97,0.0
20150502:0200,0.0,0.0,11.83,0.76,0.0
20150502:0300,0.0,0.0,12.08,0.41,0.0
20150502:0400,0.0,0.0,11.5,0.28,0.0
20150502:0500,0.0,0.0,10.73,0.69,0.0
20150502:0600,0.0,0.0,9.91,0.69,0.0
20150502:0700,0.0,0.0,8.32,1.24,0.0
20150502:0800,0.0,0.0,7.92,1.59,0.0
20150502:0900,0.0,0.0,7.71,1.93,0.0
20150502:1000,0.0,0.0,7.83,2.0,0.0
20150502:1100,43.47,9.12,8.04,1.79,0.0
20150502:1200,211.08,20.45,11.44,1.31,0.0
20150502:1300,449.08,31.89,14.24,1.59,0.0
20150502:1400,675.41,43.06,16.35,1.72,0.0
20150502:1500,544.44,53.37,18.12,1.59,0.0
20150502:1600,977.6,61.54,19.53,1.93,0.0
20150502:1700,1020.46,65.17,20.17,2.62,0.0
20150502:1800,984.71,62.35,20.34,2.41,0.0
20150502:1900,262.75,54.62,21.99,2.34,0.0
20150502:2000,474.65,44.51,21.61,2.0,0.0
20150502:2100,333.46,33.4,21.38,1.59,0.0
20150502:2200,240.19,21.98,20.44,1.52,0.0
20150502:2300,48.3,10.61,18.9,2.07,0.0
20150503:0000,0.0,0.0,17.27,2.34,0.0
20150503:0100,0.0,0.0,16.07,2.34,0.0
20150503:0200,0.0,0.0,14.89,2.48,0.0
20150503:0300,0.0,0.0,14.07,2.41,0.0
20150503:0400,0.0,0.0,13.33,2.28,0.0
20150503:0500,0.0,0.0,12.55,2.21,0.0
20150503:0600,0.0,0.0,11.66,2.0,0.0
20150503:0700,0.0,0.0,11.95,1.93,0.0
20150503:0800,0.0,0.0,10.78,1.86,0.0
20150503:0900,0.0,0.0,9.8,1.72,0.0
20150503:1000,0.0,0.0,8.94,1.45,0.0
20150503:1100,44.28,9.32,9.04,1.03,0.0
20150503:1200,213.9,20.65,12.72,0.41,0.0
20150503:1300,453.35,32.09,16.62,0.55,0.0
20150503:1400,679.9,43.28,19.36,0.76,0.0
20150503:1500,860.77,53.61,21.29,1.03,0.0
20150503:1600,976.85,61.82,22.63,1.45,0.0
20150503:1700,1018.58,65.47,23.53,1.86,0.0
20150503:1800,980.72,62.61,23.99,2.14,0.0
20150503:1900,868.53,54.83,24.32,2.48,0.0
20150503:2000,692.57,44.68,23.87,2.34,0.0
20150503:2100,472.48,33.57,23.15,1.72,0.0
20150503:2200,238.09,22.14,22.97,1.38,0.0
20150503:2300,48.3,10.77,21.9,1.24,0.0
20150504:0000,0.0,0.0,19.73,1.52,0.0
20150504:0100,0.0,0.0,17.21,1.79,0.0
20150504:0200,0.0,0.0,15.23,1.86,0.0
20150504:0300,0.0,0.0,13.61,1.79,0.0
20150504:0400,0.0,0.0,12.42,1.59,0.0
20150504:0500,0.0,0.0,11.74,1.45,0.0
20150504:0600,0.0,0.0,11.19,1.38,0.0
20150504:0700,0.0,0.0,11.51,2.14,0.0
20150504:0800,0.0,0.0,11.33,2.0,0.0
20150504:0900,0.0,0.0,10.94,1.93,0.0
20150504:1000,0.0,0.0,10.46,1.79,0.0
20150504:1100,44.28,9.53,10.75,1.59,0.0
20150504:1200,212.33,20.85,15.07,0.97,0.0
20150504:1300,448.06,32.29,18.77,1.1,0.0
20150504:1400,672.67,43.49,21.74,1.52,0.0
20150504:1500,852.96,53.84,24.05,2.14,0.0
20150504:1600,967.67,62.09,25.54,3.24,0.0
20150504:1700,1008.21,65.76,26.44,3.79,0.0
20150504:1800,969.36,62.87,26.53,3.93,0.0
20150504:1900,856.45,55.04,27.37,3.79,0.0
20150504:2000,682.17,44.86,26.91,3.52,0.0
20150504:2100,464.17,33.73,26.15,2.55,1.0
20150504:2200,233.5,22.29,25.41,2.41,0.0
20150504:2300,56.35,10.94,23.53,2.21,0.0
20150505:0000,0.0,0.0,21.52,2.41,0.0
20150505:0100,0.0,0.0,19.86,2.41,0.0
20150505:0200,0.0,0.0,18.65,2.34,0.0
20150505:0300,0.0,0.0,17.77,2.28,0.0
20150505:0400,0.0,0.0,17.26,2.14,0.0
20150505:0500,0.0,0.0,16.71,2.14,0.0
20150505:0600,0.0,0.0,16.15,2.0,0.0
20150505:0700,0.0,0.0,15.85,1.66,0.0
20150505:0800,0.0,0.0,15.13,1.72,0.0
20150505:0900,0.0,0.0,14.68,1.79,0.0
20150505:1000,0.0,0.0,14.33,1.93,0.0
20150505:1100,47.5,9.73,14.9,1.79,0.0
20150505:1200,42.34,21.05,18.0,1.45,0.0
20150505:1300,182.81,32.49,19.98,1.93,0.0
20150505:1400,265.74,43.69,21.41,1.79,0.0
20150505:1500,476.11,54.07,23.1,2.0,0.0
20150505:1600,486.81,62.36,24.07,1.79,0.0
20150505:1700,290.29,66.05,24.87,1.66,0.0
20150505:1800,250.81,63.12,25.52,1.59,0.0
20150505:1900,373.06,55.24,25.65,1.86,0.0
20150505:2000,667.04,45.03,24.03,1.79,0.0
20150505:2100,455.22,33.88,23.8,1.79,0.0
20150505:2200,228.83,22.45,23.71,1.45,0.0
20150505:2300,48.3,11.1,21.99,0.97,0.0
20150506:0000,0.0,0.0,20.44,1.1,0.0
20150506:0100,0.0,0.0,18.63,1.24,0.0
20150506:0200,0.0,0.0,17.5,1.24,0.0
20150506:0300,0.0,0.0,16.72,1.38,0.0
20150506:0400,0.0,0.0,16.26,1.03,0.0
20150506:0500,0.0,0.0,15.71,1.03,0.0
20150506:0600,0.0,0.0,14.84,1.17,0.0
20150506:0700,0.0,0.0,16.96,0.69,0.0
20150506:0800,0.0,0.0,16.07,0.83,0.0
20150506:0900,0.0,0.0,13.44,1.03,0.0
20150506:1000,0.0,0.0,12.6,1.38,0.0
20150506:1100,49.11,9.92,13.77,1.45,0.0
20150506:1200,65.27,21.23,16.61,1.59,0.0
20150506:1300,428.29,32.68,18.27,2.34,0.0
20150506:1400,399.45,43.89,20.03,2.62,0.0
20150506:1500,30.87,54.3,21.6,2.48,0.0
20150506:1600,929.7,62.62,23.02,2.14,0.0
20150506:1700,970.9,66.33,24.37,1.79,0.0
20150506:1800,567.83,63.37,25.14,1.52,0.0
20150506:1900,830.73,55.44,21.68,2.28,0.0
20150506:2000,181.53,45.2,21.93,2.14,0.0
20150506:2100,153.53,34.04,21.47,2.28,0.0
20150506:2200,71.44,22.61,20.96,2.14,0.0
20150506:2300,3.22,11.26,20.13,1.66,0.0
20150507:0000,0.0,0.0,18.72,1.79,0.0
20150507:0100,0.0,0.0,17.56,1.86,0.0
20150507:0200,0.0,0.0,16.77,1.86,0.0
20150507:0300,0.0,0.0,16.1,1.66,0.0
20150507:0400,0.0,0.0,15.5,1.66,0.0
20150507:0500,0.0,0.0,14.97,1.59,0.0
20150507:0600,0.0,0.0,14.81,1.52,0.0
20150507:0700,0.0,0.0,14.0,1.45,0.0
20150507:0800,0.0,0.0,13.35,1.38,0.0
20150507:0900,0.0,0.0,12.52,1.31,0.0
20150507:1000,0.0,0.0,11.86,1.31,0.0
20150507:1100,45.08,10.11,12.51,0.83,0.0
20150507:1200,204.77,21.42,15.38,0.62,0.0
20150507:1300,431.86,32.86,17.27,0.76,0.0
20150507:1400,648.69,44.09,19.34,0.97,0.0
20150507:1500,824.03,54.51,21.11,1.17,0.0
20150507:1600,937.71,62.87,22.75,1.24,0.0
20150507:1700,978.95,66.61,23.88,1.24,0.0
20150507:1800,943.51,63.61,24.52,1.03,0.0
20150507:1900,836.55,55.64,24.46,1.03,0.0
20150507:2000,668.47,45.37,24.66,1.03,0.0
20150507:2100,455.97,34.2,24.52,1.31,0.0
20150507:2200,230.39,22.76,24.11,1.38,0.0
